iter	Passed	Remaining
0	0	941
1	1	856
2	2	812
3	3	781
4	3	763
5	4	746
6	5	735
7	5	729
8	6	723
9	7	717
10	7	714
11	8	710
12	9	706
13	10	711
14	10	709
15	11	706
16	12	705
17	13	709
18	13	708
19	14	707
20	15	713
21	16	712
22	16	711
23	17	709
24	18	710
25	18	707
26	19	706
27	20	704
28	20	702
29	21	702
30	22	701
31	23	699
32	23	699
33	24	697
34	25	697
35	25	694
36	26	690
37	27	687
38	27	683
39	28	680
40	29	688
41	30	688
42	30	686
43	31	683
44	32	680
45	32	680
46	33	677
47	34	674
48	34	672
49	35	669
50	35	666
51	36	666
52	37	663
53	37	661
54	38	659
55	38	657
56	39	655
57	40	653
58	40	651
59	41	649
60	42	647
61	42	645
62	43	646
63	44	644
64	44	642
65	45	640
66	45	638
67	46	633
68	47	634
69	47	635
70	48	635
71	49	635
72	50	636
73	50	636
74	51	636
75	52	637
76	53	638
77	54	638
78	54	639
79	55	640
80	56	640
81	57	642
82	58	641
83	58	640
84	59	636
85	59	634
86	60	631
87	60	629
88	61	628
89	62	627
90	62	625
91	63	623
92	63	622
93	64	621
94	65	620
95	65	619
96	66	618
97	67	617
98	67	615
99	68	615
100	68	614
101	69	610
102	69	609
103	70	607
104	71	608
105	72	608
106	72	606
107	73	605
108	73	604
109	74	603
110	75	601
111	75	600
112	76	599
113	76	598
114	77	596
115	78	594
116	78	593
117	79	592
118	79	590
119	80	589
120	80	588
121	81	587
122	81	584
123	82	583
124	83	583
125	84	582
126	84	582
127	85	581
128	86	581
129	86	579
130	87	578
131	87	578
132	88	577
133	89	576
134	89	575
135	90	574
136	90	573
137	91	571
138	92	570
139	92	569
140	93	568
141	93	567
142	94	566
143	95	565
144	95	565
145	96	564
146	97	563
147	97	563
148	98	562
149	99	562
150	99	562
151	100	561
152	101	560
153	101	559
154	102	558
155	103	557
156	103	556
157	104	555
158	104	554
159	105	553
160	106	552
161	106	552
162	107	551
163	108	550
164	108	549
165	109	548
166	109	547
167	110	547
168	111	546
169	111	545
170	112	544
171	113	544
172	116	557
173	117	558
174	118	559
175	119	560
176	120	559
177	121	559
178	121	559
179	122	558
180	123	556
181	123	556
182	124	556
183	125	555
184	126	555
185	127	556
186	128	560
187	130	561
188	131	563
189	132	564
190	133	566
191	134	567
192	136	568
193	137	569
194	138	570
195	139	570
196	139	570
197	140	570
198	142	572
199	143	573
200	144	575
201	145	576
202	148	582
203	149	584
204	151	587
205	152	586
206	153	587
207	154	587
208	155	589
209	157	593
210	158	594
211	159	593
212	160	593
213	161	592
214	161	591
215	162	589
216	163	588
217	163	587
218	164	586
219	165	585
220	165	584
221	166	583
222	167	583
223	168	582
224	168	581
225	169	580
226	170	579
227	171	579
228	171	577
229	172	576
230	172	575
231	173	574
232	174	573
233	174	572
234	175	571
235	176	569
236	176	568
237	177	567
238	178	566
239	178	565
240	179	564
241	179	563
242	180	562
243	181	561
244	181	560
245	182	559
246	183	558
247	183	557
248	184	557
249	185	557
250	186	557
251	187	556
252	188	555
253	188	555
254	189	554
255	190	553
256	191	552
257	191	551
258	192	550
259	192	549
260	193	548
