iter	Passed	Remaining
0	136	136577
1	138	69289
2	139	46500
3	141	35143
4	142	28314
5	143	23760
6	144	20487
7	145	18035
8	146	16128
9	147	14619
10	149	13435
11	150	12377
12	151	11482
13	152	10708
14	152	10039
15	153	9451
16	154	8932
17	155	8471
18	156	8061
19	156	7692
20	157	7362
21	158	7059
22	160	6801
23	161	6549
24	162	6353
25	164	6154
26	165	5960
27	166	5775
28	167	5601
29	168	5439
30	169	5298
31	170	5167
32	171	5030
33	172	4902
34	173	4779
35	174	4666
36	175	4557
37	176	4460
38	178	4404
39	179	4309
40	180	4218
41	181	4134
42	182	4057
43	183	3980
44	184	3905
45	184	3833
46	185	3764
47	186	3697
48	187	3635
49	188	3574
50	188	3515
51	189	3458
52	191	3428
53	192	3377
54	193	3326
55	194	3276
56	195	3228
57	196	3186
58	196	3141
59	197	3096
60	198	3054
61	199	3013
62	199	2973
63	200	2934
64	201	2897
65	202	2860
66	202	2826
67	203	2793
68	204	2760
69	205	2735
70	207	2715
71	208	2686
72	209	2656
73	210	2628
74	210	2602
75	212	2579
76	213	2553
77	213	2528
78	214	2503
79	215	2479
80	216	2455
81	217	2432
82	217	2405
83	218	2383
84	219	2362
85	222	2364
86	223	2345
87	224	2330
88	225	2310
89	226	2291
90	227	2270
91	228	2251
92	228	2231
93	229	2214
94	230	2196
95	231	2179
96	232	2162
97	233	2146
98	234	2130
99	234	2114
100	237	2109
101	237	2094
102	238	2079
103	239	2064
104	240	2049
105	241	2034
106	242	2020
107	242	2006
108	243	1991
109	244	1977
110	245	1964
111	246	1950
112	246	1937
113	247	1924
114	248	1911
115	249	1899
116	251	1896
117	252	1886
118	253	1873
119	253	1861
120	254	1850
121	255	1837
122	256	1826
123	256	1815
124	257	1804
125	258	1793
126	259	1782
127	260	1771
128	261	1762
129	261	1752
130	262	1742
131	263	1733
132	264	1723
133	268	1732
134	269	1725
135	270	1718
136	271	1710
137	272	1701
138	273	1693
139	274	1686
140	275	1678
141	276	1668
142	276	1659
143	277	1650
144	278	1642
145	279	1633
146	281	1631
147	281	1623
148	282	1615
149	283	1608
150	284	1600
151	285	1593
152	286	1586
153	287	1579
154	288	1573
155	289	1566
156	290	1558
157	291	1551
158	291	1543
159	292	1537
160	293	1528
161	294	1521
162	295	1518
163	296	1511
164	297	1505
165	298	1498
166	299	1492
167	299	1485
168	300	1478
169	301	1472
170	302	1467
171	303	1461
172	304	1454
173	305	1448
174	305	1441
175	306	1435
176	307	1429
177	308	1423
178	309	1419
179	310	1414
180	311	1409
181	312	1403
182	312	1397
183	313	1391
184	314	1386
185	315	1380
186	316	1375
187	317	1369
188	317	1363
189	318	1358
190	319	1353
191	320	1347
192	321	1342
193	321	1337
194	323	1334
195	324	1329
196	324	1324
197	325	1319
198	326	1314
199	327	1309
200	328	1305
201	329	1300
202	330	1295
203	330	1290
204	331	1286
205	332	1281
206	333	1276
207	334	1271
208	334	1267
209	335	1262
